rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
472,SQL10001202,"รายงานสรุปเอกสาร ซื้อและส่งคืน-แสดงยอดสินค้ามีภาษี,ไม่มีภาษี",IC100202.rpt,SQL,840,DOCINFO
473,SQL10001203,รายงานรายละเอียด เอกสารซื้อและส่งคืน ตามประเภทเจ้าหนี้,IC100203.rpt,SQL,1902,DOCINFO
474,SQL10001204,รายงานสรุปเอกสาร ซื้อและส่งคืน ตามประเภทเจ้าหนี้,IC100204.rpt,SQL,876,DOCINFO
475,SQL10001201,รายงานรายละเอียด เอกสารซื้อและส่งคืน ตามเจ้าหนี้,IC100201.rpt,SQL,1963,DOCINFO
476,SQL11001206,"รายงานสรุปยอดซื้อ , ส่งคืน และยอดสั่งซื้อ ตามวันที่",IC110206.rpt,SQL,684,DOCINFO
478,SQL10001004_02,รายงานรายละเอียดการซื้อสด แสดง Lot/Seial,IC100004_02.rpt,SQL,2578,DOCINFO
479,SQL10001004_01,รายงานรายละเอียดการรับสินค้า แสดง Lot/Serial,IC100004_02.rpt,SQL,2578,DOCINFO
480,TFRM1020102.1,ใบสอบราคา - Text Mode พร้อมรหัสสินค้า,TDOC10104.txt,TFRM,2363,DOCINFO
481,SQL110012015,รายงานสรุปใบสอบราคา ตามเอกสาร,IC110209_1.rpt,SQL,970,TRANSTKH
482,SQL1010001,รายงานรายละเอียดใบสอบราคา ตามเอกสาร,IC100001.rpt,SQL,2498,DOCINFO
483,SQL1010002,รายงานรายละเอียดใบสอบราคา ตามสินค้า,IC100035.rpt,SQL,2517,DOCINFO
487,SQL1010003,รายงานสรุปใบสอบราคา ตามสินค้า,IC110222_1.rpt,SQL,2532,DOCINFO
488,NFRM1020102,ใบสอบราคาสินค้า พร้อมรหัส,DOC10103.rpt,NFRM,2363,DOCINFO
489,NFRM1020104,ใบสอบราคา แบบเส้นและตาราง พร้อมรหัสสินค้า,DOC10104.rpt,NFRM,2363,DOCINFO
490,NFRM1020101,ใบสอบราคาสินค้า,DOC10101.rpt,NFRM,2363,DOCINFO
491,NFRM1020103,ใบสอบราคา แบบเส้นตาราง,DOC10102.rpt,NFRM,2363,DOCINFO
492,NFRM1020105,ใบสอบราคาสินค้า (Letter),DOC10105.RPT,NFRM,2363,DOCINFO
493,PR1940001,รายงานใบเสนอราคา แสดงสินค้าคงเหลือ,IC194001.rpt,PR,0,
495,TFRM1170101,ใบเสนอราคาสินค้า Text Mode,TDOC11701.txt,TFRM,0,
